year,exam_type,paper,question_text
2014,Prelims,GS1,1. What are the significances of a practical approach to sugarcane production known as 'Sustainable Sugarcane Initiative?
2014,Prelims,GS1,"2. If a wetland of international importance is brought under the 'Montreux Record', what does it imply?"
2014,Prelims,GS1,"3. Which one of the following pairs of islands is separated from each other by the ""Ten Degree Channel?"
2014,Prelims,GS1,4. Consider the following pairs: Programme/Project Ministry
2014,Prelims,GS1,"5. With reference to Bombay Natural History Society (BNHS), consider the following statements:"
2014,Prelims,GS1,"6. With reference to 'Global Environment Facility', which of the following statements is/are correct?"
2014,Prelims,GS1,"7. With reference to technologies for solar power production, consider the following statements:"
2014,Prelims,GS1,8. Consider the following languages:
2014,Prelims,GS1,9. Consider the following pairs :
2014,Prelims,GS1,"10. With reference to a conservation organization called Wetlands International', which of the following statements is/are correct?"
2014,Prelims,GS1,"11. With reference to a grouping of countries known as BRICS, consider the following statements:"
2014,Prelims,GS1,12. Consider the following diseases:
2014,Prelims,GS1,13. Which of the following phenomena might have influenced the evolution of organisms?
2014,Prelims,GS1,"14. Other than poaching, what are the possible reasons for the decline in the population of Ganges River Dolphins?"
2014,Prelims,GS1,15. The Radcliffe Committee was appointed to
2014,Prelims,GS1,16. Brominated flame retardants are used in many household products like mattresses and upholstery. Why is there some concern about their use?
2014,Prelims,GS1,17. Consider the following:
2014,Prelims,GS1,19. Which of the following adds/add carbon dioxide to the carbon cycle on the planet Earth?
2014,Prelims,GS1,"20. If you walk through countryside, you are likely to see some birds stalking alongside the cattle to seize the insects disturbed by their movement through grasses. Which of the following is/are such bird/birds?"
2014,Prelims,GS1,18. Which one of the following is the largest Committee of the Parliament?
2014,Prelims,GS1,"21. In medieval India, the designations 'Mahattara' and 'Pattakila' were used for"
2014,Prelims,GS1,"22. Lichens, which are capable of initiating ecological succession even on a bare rock, are actually a symbiotic association of"
2014,Prelims,GS1,"23. If you travel through the Himalayas, you are likely to see which of the following plants naturally growing there?"
2014,Prelims,GS1,24. Which of the following are some important pollutants released by steel industry in India?
2014,Prelims,GS1,25. Which of the following Kingdoms were associated with the life of the Buddha?
